CCTV명,주소,위도,경도
우리빌딩 주변,대치동 914,37.5017752,127.0571942
gs25 대치제일점 주변,대치동 920-8,37.500342,127.0528515
미니스톱대치시내점 건너편 주변,대치동 933-15,37.4990059,127.0583064
CU대치태양점 주변,대치동 921-17,37.4991433,127.0524738
도곡경남아파트 주변,도곡동 967-1,37.4888727,127.0408038
LG전자 주변,도곡동 959-28,37.4853773,127.0373536
대림상가 주변,도곡동 960,37.4876219,127.0395944
SK리더스뷰오피스텔 주변,도곡동 168,37.4884716,127.0487329
언주초정문 주변,도곡동 902-2,37.4864265,127.0381543
양재SK허브프리모 주변,도곡동 953-1,37.4853089,127.0344036
쌍용예가아파트 주변,도곡동 933,37.4870433,127.0386822
현대하이페리온아파트 주변,도곡동 944-8,37.4888305,127.034312
SK-LPG 충전소 도곡점 주변,도곡동 552-4,37.4904994,127.0356965
신전떡볶이 도곡점 주변,도곡동 950-8,37.4865226,127.035873
도곡현대그린아파트 상가 주변,도곡동 964,37.4888167,127.039369
대림아크로빌 주변,도곡동 467-6,37.4881202,127.0510778
타워팰리스D동 주변,도곡동 467,37.4882228,127.0544393
개포우성4차A상가 주변,도곡동 465,37.4854423,127.0494737
타워팰리스G동 주변,도곡동 467-29,37.4873359,127.0528298
타워팰리스F동 주변,도곡동 467-17,37.4897104,127.0544907
타워팰리스3차 주변,도곡동 467-29,37.4873359,127.0528298
숙명여고 정문 주변,도곡동 91,37.4910237,127.0530476
늘벗근린공원 주변,도곡동 466-4,37.4890266,127.0557957
인터컨티넨탈서울 주변,삼성동 159,37.5125207,127.0588194
세븐럭카지노 주변,삼성동 159,37.5125207,127.0588194
오크우드프리미어 주변,삼성동 159,37.5125207,127.0588194
도심공항타워빌딩 주변,삼성동 159-9,37.5125207,127.0588194
한국도심공항 주변,삼성동 159-6,37.5095909,127.0592738
리칭(삼성본점) 주변,삼성동 156-5,37.5086967,127.0559552
흑돈가 주변,삼성동 147-16,37.5124971,127.0562596
노블발렌티웨딩홀 주변,삼성동 109-14,37.5151977,127.0644125
K707빌딩 주변,삼성동 70-7,37.5143631,127.0529042
삼성동더샵 주변,삼성동 146-2,37.5130545,127.05463
봉은사 주변,삼성동 77-24,37.5141774,127.058463
청담역2번출구 주변,삼성동 58-2,37.5197277,127.0566302
진흥상가 주변,삼성동 55,37.5187966,127.0536358
평화빌딩 주변,삼성동 166-1,37.5128345,127.0650998
태형빌딩 주변,삼성동 146-28,37.5122996,127.0557491
청담역7번출구 주변,삼성동 19-4,37.5021244,127.05969
상아아파트담장 주변,삼성동 19-4,37.5021244,127.05969
한섬빌딩 주변,삼성동 21,37.5165507,127.0509767
청림빌딩 주변,삼성동 38-30,37.5110979,127.0455929
성우빌딩 주변,삼성동 44-18,37.5120427,127.0490229
영상빌딩 주변,삼성동 49-9,37.5109479,127.047282
동신빌딩 주변,삼성동 141-29,37.5054927,127.0504299
암천빌딩 주변,삼성동 142-46,37.5060054,127.0525284
대종빌딩 주변,삼성동 143-49,37.5066225,127.0544959
진흥푸른솔아파트 주변,삼성동 4-3,37.5177938,127.0460807
강남구청역1번출구 주변,삼성동 2,37.5170294,127.0427453
선릉역8번출구 주변,삼성동 141-19,37.5051676,127.0489466
S타워,삼성동 49-12,37.5126001,127.0507861
현대타워 주변,삼성동 142-26,37.506216,127.0523937
CS공인중개사 주변,삼성동 9-16,37.5144622,127.0429014
롯데캐슬아파트 주변,삼성동 11-7,37.5163059,127.0484473
삼성벨라스아파트 주변,삼성동 29-19,37.5143372,127.0458109
삼성동 양지빌딩 주변,삼성동 140-36,37.5064845,127.0500369
세븐일레븐삼성8호점  주변,삼성동 41-21,37.5121587,127.0468847
롯데캐슬아파트 105동 주변,삼성동 11,37.5152737,127.0447446
성원타워 주변,삼성동 141,37.5056221,127.0488953
서광아파트담장 주변,삼성동 2,37.5170294,127.0427453
자동차매매시장4 주변,율현동 110,37.4700435,127.1194761
자동차매매시장3 주변,율현동 101-13,37.470254,127.1184614
자동차매매시장5 주변,율현동 110,37.4700435,127.1194761
강남리더스프라자 주변,세곡동 577,37.4612178,127.0660178
세명초등학교 주변,세곡동 529,37.4686014,127.0909942
LH강남3단지 주변,자곡동 621,37.4707699,127.0908579
LH강남5단지 주변,자곡동 619,37.4712792,127.0886878
리엔파크프라자 주변,헌릉로570길 34,37.4631419,127.1034644
세나테크놀로지 주변,세곡동 592,37.4667993,127.0996101
대왕초 주변,세곡동 122-1,37.46457,127.1066019
강남훼미리타운 주변,자곡동 672,37.4738184,127.107303
못골도서관 주변,자곡동 632,37.4715346,127.096482
지식산업센터  주변,자곡동 650,37.4730633,127.1024475
서울은곡유치원 주변,세곡동 601,37.4668086,127.0969742
못골아래근린공원 주변,자곡동 607,37.4729948,127.0978316
로즈데일오피스텔 주변,수서동 724,37.4873264,127.1031402
로얄프라자빌딩 주변,수서동 714,37.4883694,127.1024722
수서6단지아파트 주변,수서동 723,37.4856946,127.1063761
수서초 후문 주변,수서동 709,37.4908423,127.101657
신사역8번출구 주변,신사동 513-4,37.5170116,127.0208479
탑텐(가로수길점),신사동 537-11,37.5178457,127.0228293
진우빌딩 주변,신사동 539-10,37.5186754,127.0246927
서울리거뷰티센터 주변,신사동 582-6,37.524679,127.0281093
MI타워 주변,신사동 502-5,37.5177011,127.0195716
카로시티2빌딩 주변,신사동 579,37.5259715,127.026812
신구초교공영주차장 주변,신사동 550-11,37.5231178,127.0241858
신구초교정문 주변,신사동 550-11,37.5231178,127.0241858
신사중학교 주변,압구정동 410,37.5243401,127.0212559
신사7호공영주차장 주변,신사동 564,37.5216918,127.0267846
정인빌딩 주변,신사동 554,37.5215662,127.023727
신사동빌라트,신사동 545-23,37.520207,127.0234792
훈지빌딩 주변,신사동 548-4,37.5238624,127.0229512
태명빌딩 주변,신사동534-18,37.5263577,127.0335584
광림교회 주변,신사동 571-2,37.5244091,127.0253835
신구초등학교 주변,신사동 550-11,37.5231178,127.0241858
씨네시티빌딩 주변,신사동 651-21,37.5228949,127.0370492
동건빌딩 주변,신사동 638-6,37.528757,127.0355137
세진성형외과 주변,신사동 639-4,37.5285575,127.0367033
한양상가(로데오입구) 주변,신사동 660-8,37.528149,127.038049
H&M(압구정점) 주변,신사동 661-3,37.5278409,127.0395001
도산공원입구 주변,신사동 630-31,37.5224993,127.0355297
학동사거리 주변,신사동 666-13,37.5237711,127.0389276
SC은행(압구정동지점) 주변,압구정동 454,37.5322852,127.0283977
선호빌딩 주변,신사동 590-22,37.5209178,127.0283945
대언빌딩 주변,신사동 614,37.5273711,127.0294125
호산병원 주변,신사동 617-5,37.5285492,127.0333602
웅가패션 주변,신사동 627-21,37.5229931,127.0328786
이즈미 주변,신사동 621-6,37.5264814,127.0330021
원방프라자 주변,신사동 598-4,37.5234564,127.0286181
갤러리아백화점 주변,압구정동 489,37.5291557,127.0381668
삼원가든 주변,신사동 627-9,37.5242511,127.0328052
한양아파트 주변,압구정동 513,37.5289381,127.0420751
압구정하이츠파크입구 주변,신사동 632,37.5237758,127.0337065
기아자동차 주변,압구정동 518,37.5276039,127.0428766
성도빌딩 주변,신사동 587-23,37.5204138,127.0290923
한양1차아파트3동 주변,압구정동 490,37.5291557,127.0381668
쌍용플래티넘밸류 주변,역삼동 826-37,37.4953995,127.030406
벨레상스서울호텔 주변,역삼동 676,37.5041073,127.0475882
큰길타워 주변,역삼동 677-25,37.5023658,127.0407171
머큐어쏘도베호텔 주변,역삼동 644-18,37.5012956,127.0349785
GS타워북측 주변,역삼동 668-17,37.5023605,127.036499
역삼빌딩 주변,역삼동 678-35,37.5016206,127.0383999
강남파이낸스센터 주변,역삼동 737,37.4998097,127.0366289
씨앤씨빌딩 주변,역삼동 738-9,37.4991461,127.037422
더북컴퍼니빌딩 주변,역삼동 653,37.5081093,127.0375244
GS칼텍스 주변,역삼동 654-4,37.5055798,127.0414738
비전빌딩 주변,역삼동 696-43,37.5057001,127.0481466
효림빌딩 주변,역삼동 700-6,37.5043764,127.0423359
역삼세무서 주변,역삼동 824-19,37.4984292,127.0305581
한일빌딩 주변,역삼동 824-29,37.4974156,127.0315615
장서는날(본점) 주변,역삼동 827-68,37.4957347,127.032288
역삼초교R 주변,역삼동 829-15,37.4942597,127.0335542
선릉역5번출구 주변,역삼동 705-10,37.504645,127.0474442
강남역11번출구 주변,역삼동 820-9,37.4990329,127.0276653
역삼역4번출구 주변,역삼동 646-20,37.5005345,127.0346821
