Column1,Latitude,Longitude
삼성동 143-49,37.506675,127.0546662
삼성동 4-3,37.5177938,127.0460807
삼성동 2,37.5170294,127.0427453
삼성동 141-19,37.5051676,127.0489466
삼성동 49-12,37.5126001,127.0507861
삼성동 142-26,37.506216,127.0523937
삼성동 9-16,37.5144622,127.0429014
삼성동 11-7,37.515018,127.0467586
삼성동 7-5,37.5158515,127.0428835
삼성동 29-19,37.5143372,127.0458109
삼성동 140-36,37.5063523,127.050069
삼성동 41-21,37.5121587,127.0468847
삼성동 11,37.5152737,127.0447446
삼성동 141,37.5056221,127.0488953
삼성동 2,37.5170294,127.0427453
율현동 110,37.4700435,127.1194761
율현동 101-13,37.470254,127.1184614
율현동 114-1,37.4696988,127.1205212
율현동 126-8,37.4687527,127.1201851
율현동 110,37.4700435,127.1194761
율현동 122-5,37.4677449,127.1199712
자곡동 599,37.4751646,127.1041113
세곡동 577,37.4672853,127.1014681
세곡동 529,37.4686014,127.0909942
자곡동 605,37.4732456,127.1002911
자곡동 621,37.4707699,127.0908579
율현동 185-1,37.4708103,127.1120705
자곡동 619,37.4712792,127.0886878
헌릉로570길 34,37.4631419,127.1034644
세곡동 592,37.4667993,127.0996101
세곡동 122-1,37.46457,127.1066019
자곡동 672,37.4738184,127.107303
자곡동 632,37.4715346,127.096482
자곡동 650,37.4730633,127.1024475
세곡동 601,37.4668086,127.0969742
세곡동 549,37.4675608,127.0998333
자곡동 607,37.4729948,127.0978316
수서동 724,37.4873264,127.1031402
수서동 714,37.4883694,127.1024722
수서동 707-4,37.4863964,127.1006971
수서동 723,37.4863964,127.1006971
수서동 208-6,37.4853134,127.1039374
수서동 709,37.4863964,127.1006971
수서동 208-6,37.4853134,127.1039374
신사동 513-4,37.5962398,126.9042222
신사동 537-11,37.5235332,127.0230659
신사동 539-10,37.5235332,127.0230659
신사동 582-6,37.5235332,127.0230659
신사동 502-5,37.5235332,127.0230659
신사동 579,37.5235332,127.0230659
압구정동 410,37.5271478,127.0334517
신사동 582-14,37.5235332,127.0230659
신사동 564,37.5235332,127.0230659
신사동 554,37.5235332,127.0230659
신사동 545-23,37.5235332,127.0230659
신사동 548-4,37.5235332,127.0230659
신사동534-18,37.5235332,127.0230659
신사동 571-2,37.5235332,127.0230659
신사동 651-21,37.5235332,127.0230659
신사동 638-6,37.5999223,126.9113335
신사동 639-4,37.5235332,127.0230659
신사동 661-3,37.5235332,127.0230659
신사동 666-13,37.5235332,127.0230659
압구정동 454,37.5271478,127.0334517
신사동 590-22,37.5235332,127.0230659
신사동 614,37.5235332,127.0230659
신사동 617-5,37.5235332,127.0230659
신사동 627-21,37.5235332,127.0230659
신사동 621-6,37.5994864,126.9124205
신사동 610-10,37.5235332,127.0230659
신사동 598-4,37.5235332,127.0230659
압구정동 489,37.5271478,127.0334517
